ユーザーネーム,テキスト,URL,日付
Nox.,まじで就職先とトラブったのしんどい,https://Twitter.com/deadmere/status/1426657312865865730,2021-08-15
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1426607180174659591,2021-08-15
₇₄,就職のこと考えたくなさすぎて辛い,https://Twitter.com/aoiinemuii/status/1426591002848940035,2021-08-15
LoveDor.jr,今から就職不安なの草,https://Twitter.com/LovedorJ/status/1426543348446162950,2021-08-15
地球のTatsu。🌐,次いつ就職できるか分からないけど,https://Twitter.com/Tatsu_no_01045/status/1426538415336476674,2021-08-15
カンガルーよこた🌱,就職できる気しない2号,https://Twitter.com/neetsikakatan/status/1426523041295568905,2021-08-15
さーさん,もー何をすればいいか分からない何に就職したいのか分からない明確なものはあるけどそれをどう実現したらいいのか全然分からない,https://Twitter.com/sa_san_nemu/status/1426509778197434368,2021-08-15
𝙋‌𝙐‌𝙉‌𝙄‌𝙋‌𝙄‌𝘾‌𝙊,就職するって難しいなぁ,https://Twitter.com/punipico/status/1426490583170703361,2021-08-15
バーバラ@23卒,"就職出来るのかな？
(色々と不安)",https://Twitter.com/8tKSain6DXs4IyI/status/1426464981764116486,2021-08-15
けいちゃんん,"しんどい。しんど過ぎて死にそう。
私果たして就職できるのだろうか。挫けそう。勉強難しすぎる。",https://Twitter.com/tabakeichan/status/1426446093185736709,2021-08-15
ゆず🐵,まあ、就職のこととかあんまり考えないで来た私もだいぶやばいけど,https://Twitter.com/yuzukataiwan/status/1426409551104929795,2021-08-15
こもりbot,やだやだ就活やだ！！雨なのにお外いきたくないぼく！！！,https://Twitter.com/komori__bot/status/1426683492549619720,2021-08-15
慈瑛,だめや、就活できねぇやわい,https://Twitter.com/koikej0620/status/1426641561891196928,2021-08-15
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1426637807619960836,2021-08-15
ひなの,まじで就活できてなくて焦りしか,https://Twitter.com/qui__pi/status/1426579889923059717,2021-08-15
亜希,誰か就活の仕方を教えてくれ、、,https://Twitter.com/a_k_i_000/status/1426577595466797057,2021-08-15
トウモロコッシィィィ,やばいなー就活やばいなーやばいなーやばいなー,https://Twitter.com/tttmorokosi/status/1426563004783493131,2021-08-15
おいしいな🎃,就活嫌だぞ,https://Twitter.com/ab54179802/status/1426543071160721415,2021-08-15
めう@22卒,就活無理,https://Twitter.com/muurimu/status/1426529329266135046,2021-08-15
くずもち,はわーーーーー就活つら…,https://Twitter.com/nao_victus/status/1426511206546739212,2021-08-15
はる@22卒,ぼっち就活しんどいねェ,https://Twitter.com/hrk_7chan/status/1426508787150508034,2021-08-15
みるめろてゃ,就活進まないねぇ,https://Twitter.com/tttttapi_/status/1426502471187238912,2021-08-15
守 屋 し ん や 🍒✨ °,就活辛い。こんなめんどくさいんか…,https://Twitter.com/renaa_sukosuko/status/1426490230912126984,2021-08-15
ダメな就活生bot,"志望動機が思いつかない
#就活",https://Twitter.com/bbbot13/status/1426476242526609411,2021-08-15
まあむ,就活の不安が急にきた、、、,https://Twitter.com/mao527moi/status/1426472430638297088,2021-08-15
つきふね,就活無理すぎて吐き気がする……,https://Twitter.com/_la_prochaine/status/1426459606654488578,2021-08-15
てゃ,"誰か就活のこと教えて

wantedlyで中途の経験しかないから、新卒の就活いつから何したらいいんか全部わからん🙃",https://Twitter.com/punipunikumo/status/1426455156690808833,2021-08-15
みやち,バイトしんど 就活の方がしんどいけど,https://Twitter.com/14wes_mIkan/status/1426428585892405249,2021-08-15
ばすえ,なんで！就活しないといけないんかが分からんわ,https://Twitter.com/basuegg/status/1426426899052470275,2021-08-15
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1426360088017604612,2021-08-15
ゆゆい@23卒,"就活全然わからんから教えてくれ〜〜そもそもスタートラインがわからないのよ！！！
何から始めればいい❓❓運命の御社教えて",https://Twitter.com/yuyuinoyui01/status/1426345858862247939,2021-08-15
バチくそ激辛メン食いてえーーーー！！,就活嫌だ…,https://Twitter.com/rondosan621/status/1426342823410814976,2021-08-15
なびゅー,エントリーシート結局途中までしか書いてない,https://Twitter.com/irregular_No39/status/1426589108189601794,2021-08-15
spring,もう1エントリーシート書くか。,https://Twitter.com/puringu_lol/status/1426569171677061123,2021-08-15
鮪音！,AOエントリーシート書きます、、、,https://Twitter.com/kagamine0928/status/1426567853293989899,2021-08-15
はるしお,"エントリーシート3日かけても全然進まなくて自分への怒りがやばい
あーだるい",https://Twitter.com/nanahama_Rider/status/1426562100160188423,2021-08-15
七,エントリーシート書くのってなんでこんなにむずいん？笑,https://Twitter.com/ry_______o18/status/1426478282153762816,2021-08-15
Rayka(冷夏),もうエントリーシート書けねえよ…,https://Twitter.com/Rayka72/status/1426477106272161794,2021-08-15
亜琉,さて…エントリーシート書くか…,https://Twitter.com/Asitamoyasumi/status/1426475304856428549,2021-08-15
★4月内定★裏ワザ就活★メロン,"ESは、書くものではなく、出すもの！
(`･ω･´)

悩んでないでエントリーシートは早く出す！",https://Twitter.com/saranarutakamim/status/1426342794264604675,2021-08-15
きなぽ。,やっぱりグループ面接は無理ですね😃,https://Twitter.com/yuusya_08/status/1426648905832300544,2021-08-15
▷はい,怖くて面接できない、本当にそう,https://Twitter.com/tadashikatta4/status/1426569134163185671,2021-08-15
えび,明日面接なんだがしんど。,https://Twitter.com/evly108/status/1426534486523531276,2021-08-15
西村,面接練習やだやだやだやだ,https://Twitter.com/luvtakupyon/status/1426534448384806914,2021-08-15
むんた,ここに来て面接落ち始めてきたな、やばいやばい,https://Twitter.com/UzH5LRG5IqhM0st/status/1426534024487399430,2021-08-15
まりもりs🐣,論文書くのもやだし読まれるのもやだし面接もやだ！ぜんぶやだ！,https://Twitter.com/MFliebe/status/1426506813692792832,2021-08-15
コウキ,面接死ぬほど不安だしこの先不安しかないやばいぞ,https://Twitter.com/Castoridae_913/status/1426494089038471173,2021-08-15
かねいわ,面接もそうなんだけど、天気とかコロナとか色々明日は不安でしかない,https://Twitter.com/Nao66468044/status/1426485043619241984,2021-08-15
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1426463682528047107,2021-08-15
