ユーザーネーム,テキスト,URL,日付
🐈ふみねこ🐈‍⬛,就職出来る気がしない,https://Twitter.com/fumineko14218/status/1462151128410255364,2021-11-21
ふん💩ふん/MSK,就職、無理,https://Twitter.com/fnfn_ONE/status/1462124918229782534,2021-11-21
ヤイバ@ウルク民,私就職先高杉さんのところがいい,https://Twitter.com/yaiba_karudea/status/1462048258180534280,2021-11-21
A @23卒広告志望,就職アカウントってなんかどう扱えばいいのか難しい,https://Twitter.com/nshukatsu_2023/status/1462037234950066176,2021-11-21
るりららちゃん,就職祝いならいいよ,https://Twitter.com/RURlRARA/status/1462036447259598850,2021-11-21
メンヘラ辛いさんbot,就職先が見つからなくて辛いです…,https://Twitter.com/tsurai__desu__/status/1462005067129638913,2021-11-21
ラスカル,いい就職先ないかなぁ,https://Twitter.com/rasukalend/status/1462002336554000390,2021-11-21
しのたん(ᐡɞ̴̶̷ ̫ ɞ̴̶̷ᐡ),体が弱すぎて就職に不安しかない,https://Twitter.com/ON_2310_NO/status/1461996377353818113,2021-11-21
磨輝,就職試験の準備始めてるけど何したらいいかわかんない🥺,https://Twitter.com/mitora_maki9/status/1461973766272020487,2021-11-21
lifeisBeautiful@as_tky,コロナ禍の就活は難しいのね🤔,https://Twitter.com/arisa_tky_on/status/1462199569219940354,2021-11-21
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1462159387363971074,2021-11-21
あくも,私もやめてぇが就活やだなー,https://Twitter.com/rains545/status/1462097245063434240,2021-11-21
い ち ご 飴 🍬🍓,"あー就活嫌だな...
これからこの垢全然浮上できなくなるかも...
誰かSPIを教えてくれ🥺笑",https://Twitter.com/sakamichi_0630/status/1462082561287487492,2021-11-21
津島,"みんなどのくらい就活進んでますか！？
#23卒",https://Twitter.com/UjxV2C5MYTW8oM9/status/1462071425162833924,2021-11-21
わくわく！ひつじ研究所,就活とかいうの何もわからんけどぶん殴る,https://Twitter.com/mad_cow_galaxy/status/1462058450377007110,2021-11-21
かのちゃ,まだ何も始まってないのに就活が不安すぎて毎日震えてる,https://Twitter.com/kano_chan_111/status/1462057360755544068,2021-11-21
アルミ🌱,就活、もうつらい,https://Twitter.com/memeyanW/status/1462057011621752837,2021-11-21
友さん🦋†No.607,"今から考えても不安でしかない

来年就活だから、、",https://Twitter.com/Tomo_san_216/status/1462046490335973380,2021-11-21
m,就活とかしんどい,https://Twitter.com/L6nSrf/status/1462042949865246725,2021-11-21
みなづき,就活やだすぎてちんちん吹っ飛びそう,https://Twitter.com/x2oa888gin/status/1462035797004021768,2021-11-21
takumi H bot,就活やだなーww,https://Twitter.com/takumi__h__bot/status/1462033885513068547,2021-11-21
21卒@辞めたちゃん,Re就活っていいの？？,https://Twitter.com/21_yametaChan/status/1462030821435621377,2021-11-21
かぷりこ,就活どうやればいいのかわかんないや,https://Twitter.com/anamnesis_a/status/1462029687341797381,2021-11-21
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1462024618517180422,2021-11-21
声色清,就活本選考不安しかない,https://Twitter.com/Sarasaralyly/status/1462022465169678339,2021-11-21
伊藤，ぬし🗒️🖋️@仲間・社会と繋がれる場をつくる,就活しようかな,https://Twitter.com/nushy_ito/status/1462015103281344519,2021-11-21
超サイヤ人@ニート合格者,就活然り補修所然り何から手つけていいのかわからない😇,https://Twitter.com/yycpa1/status/1462014039932891136,2021-11-21
ストプー,分かってたけど就活疲れるな。,https://Twitter.com/sutopu16/status/1462011534738026496,2021-11-21
夢を呟く,就活しんどい,https://Twitter.com/iTWEETMYDREAM_/status/1461974911858081801,2021-11-21
ダメな就活生bot,"志望動機が思いつかない
#就活",https://Twitter.com/bbbot13/status/1461966518812483587,2021-11-21
ななし,来年就活しんどいな,https://Twitter.com/im_n826/status/1461952690590605315,2021-11-21
枯山水君,就活の時よりしんどい,https://Twitter.com/DNUR_45/status/1461949188820844547,2021-11-21
ねまる(´-﹃-`)Zｚ…(イン率低下),就活ヤバい（；＿；）,https://Twitter.com/Nemaru_maru/status/1461943833030135808,2021-11-21
美佳🤑,就活何したらいいかわからない,https://Twitter.com/kbys521/status/1461901619730149383,2021-11-21
みるく,段々就活のことわかってきたようなそうでないような…,https://Twitter.com/NRDh3cVXZBuuB1R/status/1461887808591695877,2021-11-21
がっくん,ぼくは就活より編入の方がしんどかったなー,https://Twitter.com/gakkunkokuso/status/1461880216133914625,2021-11-21
ねここ☀︎,"どうしよう漠然とものすごい不安におそわれてきた就活最近ちゃんとしてなかったから
はあ。泣きそう自業自得なのに",https://Twitter.com/mucica3030/status/1461878495269822477,2021-11-21
きゃしーさん,就活まじわからん,https://Twitter.com/kyakunasut/status/1461872020451471369,2021-11-21
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1461870338841747471,2021-11-21
いんすりん,就活の意味が分からん,https://Twitter.com/insl6659/status/1461855885420994563,2021-11-21
★4月内定★裏ワザ就活★メロン,"ESは、書くものではなく、出すもの！
(`･ω･´)

悩んでないでエントリーシートは早く出す！",https://Twitter.com/saranarutakamim/status/1462151265136246787,2021-11-21
鼻息のメソッド,エントリーシートって書くの難しい,https://Twitter.com/bnn_nuts/status/1461991922055069699,2021-11-21
もなかん,明日面接ってよく考えたらやばいね,https://Twitter.com/_monakan_/status/1462194708050964482,2021-11-21
浦島浦郎,面接だる,https://Twitter.com/bt7bRyWSd4bVZF0/status/1462187103341760523,2021-11-21
💩てんどんや💩,面接が本当に嫌,https://Twitter.com/haitani8787/status/1462184165399400451,2021-11-21
みゃーなくん¹⁵³⁵,面接こわこわ(๑ ᴖ ᴑ ᴖ ๑),https://Twitter.com/myanakunn/status/1462168095837937666,2021-11-21
ルイ47世🔨,明日の面接急に不安になってきた,https://Twitter.com/7rukiyoi/status/1462138958993887238,2021-11-21
すばる,面接だるだるのだる…。帰り絶対マックたべる_(:3」z)__(:3」z)_,https://Twitter.com/enomonto/status/1462113031815458818,2021-11-21
^_^,ESの練習として書くか、来週の面接の準備始めるか,https://Twitter.com/kareshiinaiJD/status/1462110691280580615,2021-11-21
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1462075841467215874,2021-11-21
みさきち🐸💭/ごみにんげん!!,面接しんどぉぉ🥺,https://Twitter.com/misaki_____cho/status/1462065221158113282,2021-11-21
あほでドジなちみちゃんが,面接明日嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ嫌だ,https://Twitter.com/Rushell_guu99/status/1462064435288109063,2021-11-21
